,Ticker,Date,CR,QR,IntT,Wcap,DSO
201,TEAM,2017-06-30,1.6824,1.7644,0.0,14.343,15.7832
202,TEAM,2016-06-30,3.1421,3.2065,0.0,5.6720000000000015,12.1982
203,MELI,2018-12-31,0.7733,0.8035,207.4138,-203.542,8.9125
204,MELI,2017-12-31,0.6174,0.6465,272.1479,-168.78099999999995,8.4513
205,MELI,2016-12-31,0.8454,0.8895,464.2083,-68.607,11.0247
206,PCAR,2018-12-31,0.5723,0.7411,18.089,1194.2,20.4189
207,PCAR,2017-12-31,0.5839,0.7603,19.0539,901.6,21.1593
208,PCAR,2016-12-31,0.6009,0.7704,17.924,651.4,18.5264
209,CTRP,2018-12-31,0.8473,0.9297,0.0,-6046.0,66.8116
210,CTRP,2017-12-31,1.0999,1.2125,0.0,-2710.0,64.6882
211,CTRP,2016-12-31,1.0744,1.227,0.0,-2653.9728,88.0302
212,GOLD,2018-12-31,0.943,1.0917,2.79,999.0,12.4976
213,GOLD,2017-12-31,1.2788,1.4156,2.7749,1070.0,10.4174
214,GOLD,2016-12-31,1.3134,1.4502,2.9641,1095.0,10.649000000000001
215,ALGN,2018-12-31,1.0625,1.6969,11.8775,430.394,81.4843
216,ALGN,2017-12-31,1.4429,2.0912,12.1208,319.101,80.3094
217,ALGN,2016-12-31,1.8069,2.5052,11.3563,245.95,83.85600000000002
218,WLTW,2018-12-31,0.0675,0.223,0.0,2379.0,102.0011
219,WLTW,2017-12-31,0.0698,0.222,0.0,2246.0,99.95
220,WLTW,2016-12-31,0.0651,0.2206,0.0,1963.0,96.5234
221,MCHP,2019-03-31,0.1815,0.5495,4.0714,1359.1,59.62
222,MCHP,2018-03-31,1.0888,1.3642,3.4925,887.7,50.94300000000001
223,MCHP,2017-03-31,1.8493,2.5181,4.5596,739.2,50.4689
224,VRSN,2018-12-31,1.3399,1.3485,0.0,-2.336,2.4361
225,VRSN,2017-12-31,1.5474,1.5507,0.0,-15.812,1.6012
226,VRSN,2016-12-31,1.1813,1.1899,0.0,-6.404,4.1821
227,VRSK,2018-12-31,0.1053,0.3273,0.0,294.0,44.804
228,VRSK,2017-12-31,0.1092,0.3236,0.0,286.8,48.7982
229,VRSK,2016-12-31,0.2228,0.5655,0.0,213.0,39.0728
230,LULU,2019-02-03,1.761,1.8325,4.0088,345.095,4.0375
231,LULU,2018-01-28,3.3852,3.4507,3.9822,324.089,2.6344
232,LULU,2017-01-29,3.0367,3.0747,3.931,282.786,1.4284
233,UAL,2018-12-31,0.2854,0.3885,0.0,-937.0,12.6017
234,UAL,2017-12-31,0.2976,0.4026,0.0,-856.0,12.9446
235,UAL,2016-12-31,0.3604,0.4561,0.0,-963.0,11.7742
236,INFO,2018-11-30,0.0517,0.3934,0.0,729.1,72.1861
237,INFO,2017-11-30,0.0702,0.434,0.0,640.1,70.3191
238,INFO,2016-11-30,0.0983,0.5484,0.0,576.7,77.858
239,CTAS,2019-05-31,0.0857,0.8927,12.241,1018.689,48.1978
240,CTAS,2018-05-31,0.1788,1.2158,12.776,869.8560000000001,45.3434
241,CTAS,2017-05-31,0.1693,0.8202,11.1569,837.175,50.4647
242,FITB,2018-12-31,0.0,0.0,0.0,0.0,0.0
243,FITB,2017-12-31,0.0,0.0,0.0,0.0,0.0
244,FITB,2016-12-31,0.0,0.0,0.0,0.0,0.0
245,CHKP,2018-12-31,1.3153,1.6872,0.0,474.627,94.3489
246,CHKP,2017-12-31,1.1689,1.5601,0.0,460.001,92.9343
247,CHKP,2016-12-31,1.1776,1.588,0.0,458.49,100.5763
