,Ticker,Date,divp,ROA,ROE,Aturn
838,SIRI,2016-06-30,0.0,7.8389,0.0,0.5804
839,TEAM,2019-06-30,,-23.6196,-86.587,0.4483
840,TEAM,2019-03-31,,-20.0549,-54.0473,0.527
841,TEAM,2018-12-31,0.0,-11.8534,-28.3909,0.5132
842,TEAM,2018-09-30,,-17.8764,-42.4108,0.4875
843,TEAM,2018-06-30,,-6.3337,-13.0293,0.474
844,TEAM,2018-03-31,,-8.6037,-12.925,0.6201
845,TEAM,2017-12-31,,-9.5285,-13.7529,0.6229
846,TEAM,2017-09-30,,-4.2928,-6.0038,0.5675
847,TEAM,2017-06-30,,-3.7369,-5.229,0.545
848,TEAM,2017-03-31,,-2.4287,-3.3965,0.5254
849,TEAM,2016-12-31,,-1.0115,-1.3507,0.5315
850,TEAM,2016-09-30,,-0.4576,-0.6714,0.6729
851,TEAM,2016-06-30,,0.6301,0.9489,0.6585
852,MELI,2019-06-30,0.0,0.5124,1.362,0.5895
853,MELI,2019-03-31,0.0,-0.3827,-0.9567,0.5164
854,MELI,2018-12-31,,-1.87,-11.0446,0.7359
855,MELI,2018-09-30,,-5.6078,-27.2675,0.7533
856,MELI,2018-06-30,,-4.238,-20.9283,0.8706
857,MELI,2018-03-31,,-2.9755000000000003,-12.9659,0.7916
858,MELI,2017-12-31,,0.9064,3.6521,0.8002
859,MELI,2017-09-30,0.23941300000000001,9.2436,33.1644,0.7757
860,MELI,2017-06-30,1.245975,10.8684,34.9918,0.7849
861,MELI,2017-03-31,0.136519,12.0474,37.0246,0.7451
862,MELI,2016-12-31,0.128997,11.5025,35.497,0.7123
863,MELI,2016-09-30,0.17023,10.6656,32.6937,0.6614
864,MELI,2016-06-30,0.417707,12.0983,36.8708,0.6541
865,PCAR,2019-06-30,0.17918299999999998,9.2436,25.763,0.9801
866,PCAR,2019-03-31,0.176636,9.2594,26.1645,0.9744
867,PCAR,2018-12-31,1.376834,8.9738,26.378,0.9605
868,PCAR,2018-09-30,0.180077,9.153,25.7936,0.9405
869,PCAR,2018-06-30,0.175976,8.9316,25.3515,0.951
870,PCAR,2018-03-31,0.17208600000000002,8.3755,23.9924,0.9314
871,PCAR,2017-12-31,0.8667520000000001,7.6009,22.5949,0.8828
872,PCAR,2017-09-30,0.21846300000000002,6.2388,18.4366,0.8201
873,PCAR,2017-06-30,0.23579099999999997,6.0639,18.5543,0.794
874,PCAR,2017-03-31,0.271943,6.7298,21.2568,0.8006
875,PCAR,2016-12-31,1.021925,2.4992,7.6061,0.816
876,PCAR,2016-09-30,0.24332800000000002,2.7306,8.1008,0.8152
877,PCAR,2016-06-30,0.174976,3.1049,9.5503,0.8364
878,CTRP,2019-03-31,0.0,2.5744,5.2197,0.1788
879,CTRP,2018-12-31,,0.639,1.2964,0.1779
880,CTRP,2018-09-30,,1.5043,3.1295,0.1678
881,CTRP,2018-06-30,0.0,3.0926,6.1958,0.16899999999999998
882,CTRP,2018-03-31,0.0,2.0075,3.9286,0.1744
883,CTRP,2017-12-31,0.0,1.4055,2.7562,0.1748
884,CTRP,2017-09-30,0.0,1.6402,3.2822,0.172
885,CTRP,2017-06-30,0.0,0.8095,1.6076,0.1734
886,CTRP,2017-03-31,0.0,0.1563,0.3076,0.1649
887,CTRP,2016-12-31,0.0,-1.0869,-2.4649,0.1461
888,CTRP,2016-09-30,0.0,-2.1647,-5.0385,0.1844
889,CTRP,2016-06-30,,0.495,1.1886,0.1854
890,GOLD,2019-06-30,0.361237,-4.5181,-10.3896,0.2736
891,GOLD,2019-03-31,0.628829,-5.4873,-12.6969,0.2601
892,GOLD,2018-12-31,,-6.4457,-18.3068,0.3022
893,GOLD,2018-09-30,,-2.6916,-7.1486,0.3077
894,GOLD,2018-06-30,,-1.025,-2.7477,0.3033
895,GOLD,2018-03-31,0.22158200000000003,3.5401,10.1534,0.3154
896,GOLD,2017-12-31,,5.6869,16.7005,0.3312
897,GOLD,2017-09-30,,8.5878,25.4144,0.3339
898,GOLD,2017-06-30,0.032269,9.1926,27.8262,0.3411
899,GOLD,2017-03-31,0.05151699999999999,5.4735,17.9857,0.333
900,GOLD,2016-12-31,0.037882,2.5401,8.668,0.3319
901,GOLD,2016-09-30,0.13314299999999998,-8.2447,-27.6644,0.2922
902,GOLD,2016-06-30,0.16884100000000002,-9.6297,-32.334,0.289
903,ALGN,2019-06-30,0.0,19.5774,32.1876,1.0271
904,ALGN,2019-03-31,0.0,18.7305,31.5729,1.0348
905,ALGN,2018-12-31,0.0,20.8648,33.2534,1.0252
906,ALGN,2018-09-30,0.0,17.27,26.3676,1.0225
907,ALGN,2018-06-30,0.0,17.0017,25.6646,0.9999
908,ALGN,2018-03-31,0.0,15.9076,23.7407,0.987
909,ALGN,2017-12-31,0.0,14.5539,21.5305,0.9266
910,ALGN,2017-09-30,0.0,17.587,24.9528,0.8803
911,ALGN,2017-06-30,0.0,16.9556,23.9004,0.8839
912,ALGN,2017-03-31,0.0,16.3906,22.5675,0.8636
913,ALGN,2016-12-31,0.0,14.8492,20.5805,0.8454
914,ALGN,2016-09-30,0.0,15.6606,21.568,0.8341
915,ALGN,2016-06-30,0.0,14.6665,19.9073,0.8299
916,WLTW,2019-06-30,0.6123190000000001,2.4417,8.3374,0.2477
917,WLTW,2019-03-31,0.294425,2.1881,7.3878,0.2434
918,WLTW,2018-12-31,0.223545,2.1436,6.9577,0.2626
919,WLTW,2018-09-30,1.8,1.7209,5.6301,0.2517
920,WLTW,2018-06-30,1.365517,1.3853,4.5288,0.2452
921,WLTW,2018-03-31,0.371163,1.3214,4.1909,0.2461
922,WLTW,2017-12-31,0.28771399999999997,1.8115,5.6263,0.2616
923,WLTW,2017-09-30,,1.1144,3.4523,0.2513
924,WLTW,2017-06-30,2.184242,1.1629,3.5565,0.2447
925,WLTW,2017-03-31,0.211076,1.281,3.9013,0.2443
926,WLTW,2016-12-31,1.934118,1.2711,5.0756,0.3213
927,WLTW,2016-09-30,,1.0239,3.8602,0.2795
928,WLTW,2016-06-30,0.926667,1.5889,5.9957,0.2367
929,MCHP,2019-06-30,1.7179490000000002,1.9784,7.1244,0.2912
930,MCHP,2019-03-31,0.497618,2.6752,8.3083,0.4021
931,MCHP,2018-12-31,1.7540650000000002,2.4955,7.8575,0.3822
932,MCHP,2018-09-30,0.8920040000000001,0.2066,0.6333,0.3474
933,MCHP,2018-06-30,2.3949580000000004,0.8881,2.8232,0.3111
934,MCHP,2018-03-31,0.581303,3.2037,7.7979,0.4993
935,MCHP,2017-12-31,,3.2167,8.5386,0.5084
936,MCHP,2017-09-30,0.446617,7.9823,19.9103,0.4919
937,MCHP,2017-06-30,0.485932,5.8841,15.0902,0.4697
938,MCHP,2017-03-31,0.6025590000000001,2.4893,6.072,0.5154
939,MCHP,2016-12-31,0.726697,1.5104,4.052,0.4865
940,MCHP,2016-09-30,2.184179,0.7639,2.1133,0.4306
941,MCHP,2016-06-30,,1.3115,3.4591,0.3993
942,VRSN,2019-06-30,0.0,33.1416,0.0,0.645
943,VRSN,2019-03-31,0.0,25.3162,0.0,0.5066
944,VRSN,2018-12-31,0.0,23.992,0.0,0.5004
945,VRSN,2018-09-30,0.0,20.9944,0.0,0.502
946,VRSN,2018-06-30,0.0,22.5737,0.0,0.5591
947,VRSN,2018-03-31,0.0,18.2001,0.0,0.4504
948,VRSN,2017-12-31,0.0,17.3339,0.0,0.4417
949,VRSN,2017-09-30,0.0,17.6693,0.0,0.444
950,VRSN,2017-06-30,0.0,19.7273,0.0,0.4942
951,VRSN,2017-03-31,0.0,19.3827,0.0,0.4953
952,VRSN,2016-12-31,0.0,18.7816,0.0,0.4868
953,VRSN,2016-09-30,0.0,17.9117,0.0,0.463
954,VRSN,2016-06-30,0.0,16.9771,0.0,0.4531
955,VRSK,2019-06-30,0.0,9.7282,27.8692,0.4058
956,VRSK,2019-03-31,0.0,9.5345,27.5604,0.3875
957,VRSK,2018-12-31,0.0,10.0448,29.965,0.4018
958,VRSK,2018-09-30,0.0,11.4484,34.4591,0.4097
959,VRSK,2018-06-30,0.0,11.1864,34.5699,0.4209
960,VRSK,2018-03-31,0.0,10.5369,32.4547,0.4045
961,VRSK,2017-12-31,0.0,10.4229,34.0782,0.4028
962,VRSK,2017-09-30,0.0,8.9167,29.2119,0.4036
963,VRSK,2017-06-30,0.0,9.6989,32.0122,0.4219
