,Ticker,Date,CR,QR,IntT,Wcap
442,WBA,2018-08-31,0.0362,0.3396,10.9126,2572.0
443,WBA,2018-05-31,0.0846,0.4179,10.5209,3959.0
444,WBA,2018-02-28,0.0775,0.4003,9.6292,4296.0
445,WBA,2017-11-30,0.0892,0.4235,9.0843,3298.0
446,WBA,2017-08-31,0.17800000000000002,0.53,9.975,2933.0
447,WBA,2017-05-31,0.5643,0.8563,9.9618,3492.0
448,WBA,2017-02-28,0.6687,0.9897,9.5115,3640.0
449,WBA,2016-11-30,0.5414,0.8876,8.7585,4805.0
450,WBA,2016-08-31,0.5764,0.9444,9.9214,4216.0
451,ILMN,2019-06-30,5.1846,5.9526,2.7110000000000003,751.0
452,ILMN,2019-03-31,2.9130000000000003,3.2812,2.7559,732.0
453,ILMN,2018-12-30,1.9468,2.2317,2.8707000000000003,716.0
454,ILMN,2018-09-30,1.9533,2.2029,2.8274,651.0
455,ILMN,2018-07-01,2.0641,2.3887,2.8823,608.0
456,ILMN,2018-04-01,2.011,2.35,2.8968,599.0
457,ILMN,2017-12-31,2.8753,3.4263,2.925,584.0
458,ILMN,2017-10-01,3.0692,3.6451,2.7843,552.0
459,ILMN,2017-07-02,2.7757,3.3211,2.7046,506.0
460,ILMN,2017-04-02,2.466,2.9764,2.6815,525.0
461,ILMN,2017-01-01,2.212,2.7531,2.5638,543.556
462,ILMN,2016-10-02,2.443,3.0498,2.6123,559.784
463,ILMN,2016-07-03,2.451,3.0915,2.5979,433.174
464,VRTX,2019-06-30,3.1378,3.507,3.5992,530.872
465,VRTX,2019-03-31,3.1434,3.5395,3.409,492.733
466,VRTX,2018-12-31,2.8281,3.1937,3.4679,423.061
467,VRTX,2018-09-30,3.079,3.4616,3.3399,411.756
468,VRTX,2018-06-30,2.9847,3.409,3.2122,425.43
469,VRTX,2018-03-31,2.9941,3.3897,3.007,370.578
470,VRTX,2017-12-31,2.5874,2.9359,2.9046,319.1790000000001
471,VRTX,2017-09-30,2.5498,2.9205,2.9596,284.547
472,VRTX,2017-06-30,2.6681,3.0646,2.9304,264.271
473,VRTX,2017-03-31,2.8763,3.3008,2.8481,226.83
474,VRTX,2016-12-31,1.8101,2.0629,3.1223,216.517
475,VRTX,2016-09-30,1.5611000000000002,1.8132,3.5268,203.114
476,VRTX,2016-06-30,1.7202,2.0242,3.5187,204.643
477,MU,2019-05-30,1.2394,1.7671,3.0259,6417.0
478,MU,2019-02-28,1.0234,1.5664,3.3356,6864.0
479,MU,2018-11-29,1.0721,2.0318,3.6219,7237.0
480,MU,2018-08-30,1.1821,2.0608,3.7213,6959.0
481,MU,2018-05-31,1.2019,1.9691,3.8044,7130.0
482,MU,2018-03-01,1.3108,1.971,3.9198,5989.0
